Categoria: Tutte le categorie

Regione,negro: (09/01/04 - 25/09/22)
Liguria,100
Piemonte,85
Veneto,81
Puglia,77
Friuli-Venezia Giulia,77
Lazio,71
Sardegna,68
Lombardia,63
Valle d'Aosta,61
Calabria,61
Campania,61
Abruzzo,60
Umbria,58
Emilia-Romagna,57
Toscana,54
Marche,54
Molise,54
Basilicata,53
Sicilia,53
Trentino-Alto Adige,45
