Categoria: Tutte le categorie

Regione,negro: (04/03/18 - 25/09/22)
Liguria,100
Piemonte,95
Veneto,87
Puglia,86
Friuli-Venezia Giulia,81
Lazio,75
Lombardia,73
Campania,71
Sardegna,70
Abruzzo,67
Calabria,66
Emilia-Romagna,65
Umbria,64
Valle d'Aosta,62
Sicilia,62
Basilicata,62
Marche,62
Molise,60
Toscana,59
Trentino-Alto Adige,41
