Categoria: Tutte le categorie

Regione,negro: (01/01/08 - 23/02/13)
Piemonte,100
Valle d'Aosta,89
Liguria,84
Veneto,78
Friuli-Venezia Giulia,78
Puglia,66
Lazio,66
Lombardia,62
Molise,59
Abruzzo,58
Sardegna,55
Marche,54
Trentino-Alto Adige,54
Umbria,53
Emilia-Romagna,52
Calabria,52
Campania,51
Basilicata,47
Toscana,47
Sicilia,42
